OCC_TITLE	H_MEAN
Diagnostic Medical Sonographers	44.49
Nuclear Medicine Technologists	47.93
Radiologic Technologists and Technicians	38.35
Magnetic Resonance Imaging Technologists	43.76
Medical Dosimetrists	67.99
Emergency Medical Technicians and Paramedics	24.26
Emergency Medical Technicians	21.54
Paramedics	29.14
Health Practitioner Support Technologists and Technicians	22.77
Dietetic Technicians	19.02
Pharmacy Technicians	21.54
Psychiatric Technicians	21.64
Surgical Technologists	31.64
Veterinary Technologists and Technicians	22.25
Ophthalmic Medical Technicians	21.81
Licensed Practical and Licensed Vocational Nurses	30.84
Licensed Practical and Licensed Vocational Nurses	30.84
Medical Records Specialists	26.91
Medical Records Specialists	26.91
Opticians, Dispensing	24.02
Opticians, Dispensing	24.02
Miscellaneous Health Technologists and Technicians	27.91
Orthotists and Prosthetists	39.10
Hearing Aid Specialists	30.74
Health Technologists and Technicians, All Other	27.10
Other Healthcare Practitioners and Technical Occupations	34.11
Health Information Technologists and Medical Registrars	35.30
Health Information Technologists and Medical Registrars	35.30
Miscellaneous Health Practitioners and Technical Workers	33.63
Athletic Trainers	*
Genetic Counselors	49.47
Surgical Assistants	32.30
Healthcare Practitioners and Technical Workers, All Other	35.19
Healthcare Support Occupations	19.06
Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides	17.64
Home Health and Personal Care Aides	16.82
Home Health and Personal Care Aides	16.82
Nursing Assistants, Orderlies, and Psychiatric Aides	19.85
Nursing Assistants	19.84
Orderlies	19.27
Psychiatric Aides	20.97
Occupational Therapy and Physical Therapist Assistants and Aides	28.88
Occupational Therapy Assistants and Aides	31.74
Occupational Therapy Assistants	32.95
Occupational Therapy Aides	20.12
Physical Therapist Assistants and Aides	27.88
Physical Therapist Assistants	32.29
Physical Therapist Aides	17.07
Other Healthcare Support Occupations	22.30
Massage Therapists	30.50
Massage Therapists	30.50
Miscellaneous Healthcare Support Occupations	21.83
Dental Assistants	23.49
Medical Assistants	21.50
Medical Equipment Preparers	23.56
Medical Transcriptionists	18.85
Pharmacy Aides	19.37
Veterinary Assistants and Laboratory Animal Caretakers	18.74
Phlebotomists	21.34
Healthcare Support Workers, All Other	23.44
Protective Service Occupations	29.33
